la zona	area (not "el área")
la instalación	installation
el plano	plan (street map, small scale); blueprint, drawing
golpear	to hit, to beat (up), to strike
el comportamiento	behavior, comportment
votar	to vote
permanente	permanent
la sede	headquarters (not "la central")
primario	primary
el mayor	adult (not adulto)
la categoría	category
atacar	to attack
operar	to operate
relativo	relative (comparative)
la lectura	lecture (reading)
la cocina	kitchen
la intervención	intervention
el gol	goal (score in sports) (not meta or tanto)
municipal	municipal
el parlamento	parliament
prohibir	to prohibit
efectuar	to carry out (e..); to make (payment, trip)
el dueño	owner (not propietario)
femenino	feminine
la mente	mind
el inicio	start, beginning (i..)
sugerir	to suggest (not proponer)
el comentario	commentary
enterar	to inform, tell, notify (not "informar")
el cuello	neck, collar
fabricar	to fabricate (to manufacture)
exacto	exact
la disposición	disposition
la deuda	debt
la onda	wave (hair, physics)
disminuir	to diminish
el consumo	consumption
quinto	fifth
disfrutar	to enjoy (not "gozar" or "divertirse")
el aparato	apparatus (machine)
revolucionario	revolutionary
apuntar	to point at, aim, to write down (not señalar)
el ave	bird (not pájaro)
devolver	to refund, to return
el indio	Indian (person)
significativo	significant (not "significante")
perfecto	perfect
el acceso	access
convocar	to convene, call together, summon
el relato	report (r..., not "el reporte"), story, account
la lima	lime (the citrus fruit)
la ausencia	absence
el daño	damage
la estrategia	strategy
Marte	Mars
normalmente	normally
gobernar	to govern (not regir)
universitario	(from) university
garantizar	to guarantee
el capitán	captain
atraer	to attract
opinar	to opine (to believe, to think)
pasado	past
particular	particular
el planeta	planet
el piano	piano
la alegría	happiness, joy (a...)
la chica	girl (c...)
el delito	crime (not too serious)
figurar	to appear, to be listed (f...)
la culpa	guilt, blame
la arena	sand
el novio	boyfriend
la interpretación	interpretation
otorgar	to award (o...)
breve	brief, short (not corto)
la longitud	longitude, length (not "largo")
bailar	to dance
cuándo	when
el cubano	Cuban (person)
la explicación	explanation
el contenido	content
corto	short, brief (not breve)
el temor	fear (t...)
la agricultura	agriculture
la danza	dance (not "el baile")
procedente de	proceeding from,  coming from (not "proveniente de")
inmediatamente	immediately, at once (not enseguida)
el hueso	bone
incrementar	to increase (not aumentar)
modificar	to modify
la discusión	discussion, argument
la exportación	exportation
el imposible	the impossible
despedir	to say goodbye; to fire/lay off (employee)
robar	to rob
registrar	to register
sesenta	sixty
la publicación	publication
médico	medical
experimentar	to experiment; to experience
administrativo	administrative
la academia	academy
el monte	mount, mountain (not "montaña")
evidente	evident
la encuesta	poll
característico	characteristic
el ingeniero	engineer
la nube	cloud
la perspectiva	perspective
inventar	to invent
la entrevista	interview
el dominicano	person from the Dominican Republic
la atmósfera	atmosphere (not "ambiente")
orientar	to orient, to guide, to direct
prometer	to promise
el coronel	colonel
constitucional	constitutional
genético	genetic
el cristal	crystal
auténtico	authentic
la moda	fashion
el jueves	Thursday
ingresar	to join, to enter, to deposit
la vieja	old woman
poner	to put (not colocar)
la columna	column
el ensayo	essay
absolutamente	absolutely
mezclar	to mix
contemporáneo	contemporary
la gestión	management
sumar	to sum, to add up to, to total
desempeñar	to carry out, to perform (d...)
el universo	universe
educativo	educational
doble	double
cultivar	to cultivate
el pájaro	bird (not "ave")
la guardia	guard (female)
impulsar	to boost, to propel
la tensión	tension
favorecer	to favor (not propiciar)
el arquitecto	architect
la riqueza	richness, wealth
el honor	honor
la manifestación	manifestation, demonstration (not "demostración")
acaso	perhaps (a...)
la dinastía	dynasty
la playa	beach
el lector	reader
el festival	festival
la galería	gallery
inmenso	immense
el invierno	winter
temprano	early
la leche	milk
el enfermo	sick person
arrancar	to tear off; to start up (a computer)
el particular	private individual
arreglar	to mend, to fix (not reparar); to arrange
constante	constant
la ruta	route
volar	to fly, disappear/vanish, blow away, fly by
la derecha	right (direction)
la conclusión	conclusion
el auto	car (not "vehículo", "coche", "carro", or "automóvil")
alzar	to lift, raise (a...) (not aumentar or asentar)
fiscal	fiscal
el secreto	secret
externo	external (not "exterior")
la derrota	defeat
descender	to descend
supremo	supreme
la esquina	corner (not "rincón")
la sección	section
Washington	Washington
el retrato	portrait
habitual	habitual
la excepción	exception
ampliar	to amplify
lejano	far, distant (l...) (not lejos)
la suma	sum
nuevamente	newly
practicar	to practice
soñar (con)	to dream (about)
lento	slow
la actuación	performance (of an actor)
hundir	to sink
fino	thin, fine (high quality)
el actor	actor
aclarar	to clarify
el productor	producer
gubernamental	governmental
el patrón	pattern
el nacimiento	birth
perfectamente	perfectly
interrumpir	to interrupt
la cola	tail, line, glue
derrotar	to defeat
invadir	to invade
la apertura	opening
la huelga	strike (work-stoppage, walk-out)
la inteligencia	intelligence
el pago	payment
el código	code (not "la clave")
tardar	to be late, to be slow, take (time)
la pasión	passion
inicial	initial
ceder	to yield, to give way, to give in
la distribución	distribution (not reparto)
la obligación	obligation
ligero	light, lightweight, slight (not leve or liviano)
diseñar	to design
brillante	bright, shiny, sparkling, brilliant
el alcalde	mayor
apartar	to move away, to separate (not separar)
creciente	growing
el socialista	socialist
peligroso	dangerous
el océano	ocean
la amistad	friendship
encabezar	to head
ajeno	alien (strange), foreign; someone else's (property); unconnected
el laboratorio	laboratory
la soledad	loneliness
la sesión	session
lindo	cute (not "mono" or "chulo")
el símbolo	symbol
infantil	infantile
el costo	cost (Lat Am) (not coste)
muchísimo	very much, a whole lot
percibir	to perceive
promover	to promote
gozar	to enjoy (not "disfrutar" or "divertirse")
denunciar	to denounce
la búsqueda	search (not "la busca")
el techo	ceiling, roof (generic)
el virus	virus
esencial	essential (not "imprescindible")
soportar	to bear, to endure, to put up with (not aguantar)
la península	peninsula
el experto	expert
la conquista	conquest
carecer	to lack (not faltar)
amarillo	yellow
la profesión	profession
la lágrima	tear (water from eye)
conquistar	to conquer (not vencer)
el accidente	accident
perseguir	to pursue
regalar	to give (as a present)
Israel	Israel
afuera	outside
la amenaza	threat
desconocido	unknown
el mexicano	Mexican (person)
marino	marine
peor	worse
prever	to anticipate (not anticipar)
facilitar	to facilitate
el zapato	shoe
liberal	liberal
el margen	margin
encerrar	to enclose
efectivamente	really, indeed (e...)
el azúcar	sugar
laboral	laboring
reclamar	to claim
la conducta	conduct
la corona	crown
la expansión	expansion
la avenida	avenue
el humo	smoke
el polvo	dust, powder
cargar	to load; to carry, to burden
la busca	search (not "la búsqueda")
el gato	cat
el reloj	clock
el miércoles	Wednesday
la molécula	molecule
dulce	sweet
la emoción	emotion, excitement
húmedo	humid, damp, moist
el salón	living room (not sala)
encender	to light; to ignite; to switch on; to arouse (not iluminar or alumbrar)
Egipto	Egypt
centrar	to center
once	eleven
el regreso	return; return journey (not "la vuelta")
quemar	to burn, incinerate; scorch (q)
finalizar	to finalize (not ultimar)
el traje	suit
el incremento	increment, increase (not alza or aumento)
el borde	border, edge (not frontera)
el rasgo	feature
la caída	fall, falling, tumble
el cliente	client
el canto	singing
la protesta	protest
el vaso	glass, vessel
calificar	to qualify; to grade; to rate
la compra	purchase
la profundidad	depth, profundity
regional	regional
la humanidad	humanity
el aeropuerto	airport
el impuesto	tax
continuo	continuous
la rueda	wheel (r...)
poderoso	powerful
derivar	to derive
violento	violent
Venezuela	Venezuela
el salario	salary (not sueldo)
localizar	to locate (not ubicar)
elaborar	to make, manufacture, produce
el muro	wall (m.. , not muralla)
organizado	organized
la catedral	cathedral
abarcar	to cover, to encompass, to span, to include (a...)
inclinar	to incline
el vacío	void, empty space
triste	sad
el caballero	gentleman; knight
la cuerda	cord, rope
la extensión	extension (not ampliación)
el filósofo	philosopher
estrecho	narrow, tight (not "apretado")
liberar	to liberate (not librar)
jurídico	legal (not "legal")
calcular	to calculate
el anciano	elderly person (not viejo)
frecuente	frequent
apreciar	to appreciate
Panamá	Panama
recientemente	recently (not recién)
fundamentalmente	fundamentally
cero	zero
condenar	to condemn
el castillo	castle
el sindicato	trade union, labor union (not "el gremio")
molestar	to bother, to upset
la observación	observation
la rosa	rose
previo	previous (not anterior)
originar	to originate
el reconocimiento	recognition
el italiano	Italian
verdaderamente	truly
el placer	pleasure (p...)
electrónico	electronic
el senador	senator
la pelota	ball (not bola or balón)
la hacienda	estate (h...)
la nariz	nose
la liberación	liberation
el toro	bull
confiar	to trust, to rely
saludar	to greet
desnudo	naked
deportivo	sports (relating to sports), casual, sportsmanlike
la corrupción	corruption
atreverse	to dare, to venture
la civilización	civilization
el testigo	witness
la vez	time, instance, turn
el equilibrio	balance (not balance)
el enemigo	enemy
el carro	car (Lat Am) (c.., not "el coche")
el cáncer	cancer
la bomba	bomb; pump
revisar	to revise (not "repasar"); to review
la palma	palm
el judío	jew
la jornada	working day (not "el día laborable")
concentrar	to concentrate
diario	daily (not cotidiano or diariamente)
el hilo	thread (to sew with)
transportar	to transport
ajá	aha
resistir	to resist
autónomo	autonomous
el corredor	runner, corridor
el estadio	stadium
la partida	game, departure
inferior	lower
alimentar	to feed
adentro	inside (not dentro)
el cura	priest (not sacerdote)
elevado	elevated
ocultar	to hide (not esconder)
renunciar	to renounce, quit (not dimitir)
la doctrina	doctrine
el enfrentamiento	confrontation (not "la confrontación")
confundir	to confound
la sierra	saw; mountain range
lavar	to wash
vacío	empty, void
la nave	ship (n...)
precioso	precious
prolongar	to prolong
especializado	specialized
la medida	measurement
sobrevivir	to survive
soltar	to release, to let go of, to drop
correcto	correct
agarrar	to grab
la coalición	coalition
la torre	tower
callarse	to shut up, to keep quiet, to remain silent
el automóvil	car (not carro, coche, or auto)
armado	armed
parlamentario	parliamentary
el loco	madman
ignorar	to be ignorant of, to not know (not desconocer)
el oído	ear (inner part), hearing (sense of)
designar	to designate
el fracaso	failure
el depósito	deposit
comparar	to compare
naturalmente	naturally
monetario	monetary
inspirar	to inspire
la resolución	resolution
el campeonato	championship
el argumento	argument, plot
terrestre	terrestrial
la fila	row, line (not línea or raya)
excelente	excellent
denominado	named, called (not "llamado")
regular	to regulate
equivocarse	to be mistaken; to be wrong (not "estar equivocado")
la fábrica	factory
la fruta	fruit
crítico	critical (very serious, crucial); critical (judgemental)
el tráfico	traffic
el tiro	throw, shot (not disparo)
la cumbre	summit (not cima)
el impacto	impact
el mando	command (m..), rule, leadership
la marca	mark
intelectual	intellectual
convenir	to agree, to suit (not acceder or acordar)
el mandato	mandate
negativo	negative
correspondiente	corresponding
la dimensión	dimension
expulsar	to expel
arrojar	to throw, to hurl (not echar, lanzar, or tirar)
limitado	limited
la pobreza	poverty
la oscuridad	darkness
la fórmula	formula
marcado	marked
el huevo	egg
firme	firm
el personal	staff
suave	soft (not “blando”), gentle
japonés	Japanese
espacial	relating to space
futuro	future
caliente	hot
magnífico	magnificent
el sujeto	subject (person in clinical trial); subject (grammar)
la virgen	virgin
la tienda	shop
existente	existing
ejecutar	to execute, perform
suspender	to suspend; to fail (an exam)
la instrucción	instruction
el incendio	fire (i.e. building burning) (not "el fuego")
el registro	registry
el ala	wing
el cabello	hair (not pelo)
el verso	verse
completar	to complete
empujar	to push
el príncipe	prince
el componente	component
evidentemente	evidently
la escalera	stairs (singular)
perdonar	to forgive, to pardon
el impulso	impulse
detectar	to detect
la dama	lady (d)
vincular	to link (not juntar)
la disciplina	discipline
la federación	federation
primitivo	primitive
pronunciar	to pronounce
divino	divine
fallecer	to die (not morir)
el señor	Mr., master, the Lord
secundario	secondary
la aventura	adventure
poético	poetic
la orilla	shore
el crimen	crime (very serious)
Cristo	Christ
el concurso	contest; tendering process [business]
besar	to kiss
Grecia	Greece
el sacerdote	priest (not cura)
extenso	extensive
extraer	to extract
la denuncia	denunciation, complaint
el carbono	carbon
conformar	to form (not "formar"), to make up; to create
segundo	second
limpio	clean
maravilloso	wonderful, marvelous
el fruto	fruit (the scientific term, not "la fruta"); fruit (result of labour); nut (edible)
traducir	to translate
el pantalón	trousers, pants (singular)
relativamente	relatively
procurar	to seek, try (procure)
la concentración	concentration
conectar	to connect
abrazar	to hug
el exterior	exterior
poblar	to populate
rural	rural
la villa	villa
el vestido	dress
reproducir	to reproduce
setenta	seventy
falso	false
descansar	to rest
el ángel	angel
dudar	to doubt
efectivo	effective
el máximo	maximum
múltiple	multiple
adelantar	to advance (ad...)
indígena	indigenous
material	material
lentamente	slowly (l...)
la pista de baile	dance floor
colgar	to hang; to hang up (the phone)
el empleado	employee
el entorno	surroundings (singular), environment (not "el ambiente")
la tela	fabric (not tejido)
formal	formal
confesar	to confess
el mapa	map
lucir	to shine (not brillar)
la oración	prayer, sentence
penetrar	to penetrate
la utilización	utilization, use (not uso or aplicación)
boliviano	Bolivian
el cantante	singer
Austria	Austria
la facilidad	facility, ease, aptitude
de repente	suddenly (d.., not "de pronto" or "de súbito")
la ilusión	illusion; hope; excitement (Sp.)
el humor	mood
el víctor	victor
la mezcla	mixture, combination, blend
encantar	to enchant, like
inaugurar	to inaugurate
la tabla	wooden plank, board (t.., not "el tablón"); table (graphic representation)
Alejandro	Alexander
Canadá	Canada
pasear	to go for a walk (not caminar or andar)
ochenta	eighty
la intensidad	intensity
la computadora	computer (not ordenador)
la virtud	virtue
el oficio	trade, job
sólido	solid
la variación	variation
proclamar	to proclaim
ascender	to ascend (not "subir")
emprender	to undertake, to begin
el establecimiento	establishment
la concepción	conception
colombiano	Colombian
negociar	to negotiate
la misa	mass (religious)
habitar	to live in, to inhabit (not residir)
izquierda	left
la mancha	spot, stain
semejante	similar (not similar or parecido)
rendir	to perform well
respirar	to breathe
el alcance	reach, range
acumular	to accumulate
tremendo	tremendous
el acero	steel
asomar	to show up, stick out, poke out
el comandante	commander
la cárcel	jail
distribuir	to distribute (not repartir)
desplazar	to displace
el rincón	corner, nook (not esquina)
la imaginación	imagination
la reducción	reduction
el significado	meaning
pesado	heavy
orgánico	organic
global	global
la radiación	radiation
el desierto	desert
conversar	to converse, to talk (not dialogar, hablar, or platicar)
sagrado	sacred
limpiar	to clean
acceder	to agree, to access (not acordar or convenir)
el campeón	champion
la continuación	continuation
la llanura	prairie
metálico	metallic
la postura	posture
perdido	lost
eficaz	efficient (not eficiente)
apretar	to press (not presionar)
juzgar	to judge
Ana	Anna
Castilla	Castile
fumar	to smoke
sucio	dirty
el perdón	forgiveness
pintado	painted
la ceremonia	ceremony
disparar	to shoot, to fire (not tirar)
la tumba	grave
la llave	key (for a lock); tap; switch; wrench
dentro	inside (not adentro)
el especialista	specialist
criticar	to criticize
Isabel	Elizabeth
Jaime	James
Ernesto	Ernest
el combate	combat
el capítulo	chapter
circular	to circulate
grueso	thick (size) (g..)
justificar	to justify
la consulta	consultation
el combustible	fuel
el aceite	oil
la combinación	combination
la clave	code, key (not código or llave)
la camisa	shirt
cansado	tired
la escritura	writing (not "la redacción")
la posesión	possession
la presentación	presentation
la identidad	identity
definitivamente	definitely
combatir	to combat, to fight (not luchar or pelear)
la botella	bottle
asesinar	to murder
increíble	incredible
la secretaría	secretary's office
la rodilla	knee
ancho	broad, wide, capacious (not amplio)
la cooperación	cooperation
el conservador	conservative
colonial	colonial
precisar	to specify (not "especificar")
el seno	bosom, breast
alterar	to alter
el progreso	progress
el plato	dish, plate
medieval	medieval
vital	vital
invertir	to invest; to invert, to reverse
la gloria	glory
Gonzalo	Gonzalo
la patria	homeland
solar	solar
el vapor	vapor
la preparación	preparation
la inflación	inflation
la antigüedad	seniority (in a job); antiquity; antique
considerable	considerable
la capitalización	capitalization (finance)
el esposo	husband (not marido)
consultar	to consult
el creador	creator
Díaz	Diaz
animar	to animate, to encourage
el obispo	bishop
la opción	option, choice
la angustia	anguish
clasificar	to classify
dotar	to gift, to provide (not dar, proporcionar or regalar)
escoger	to choose (not elegir)
el palo	stick
Horacio	Horace
enamorar	to win the heart
delgado	slim, slender, lean
la cuenca	basin, socket
doler	to hurt (d.., not "dañar")
el paseo	walk (stroll)
proyectar	to project
el rival	rival
el narcotráfico	drug trafficking
mental	mental
el receptor	recipient (r.., not "el recipiente"); catcher (baseball); receptor (biol.)
acostar	to put to bed
tropical	tropical
listo	clever, ready
la garantía	guarantee
alegre	happy (a...)
el cerro	hill (not colina)
el bolsillo	pocket
maestro	master, main
la grabación	recording
la curiosidad	curiosity
gastar	to spend (money)
colaborar	to collaborate
afectado	affected
apagar	to turn off
situado	situated
la recuperación	recuperation, recovery (not recobro)
latinoamericano	Latin American
el escándalo	scandal
Diego	Diego
acariciar	to caress
la alternativa	alternative
el ballet	ballet
la proporción	proportion
la pata	paw
Colón	Columbus
el cadáver	cadaver
el vicepresidente	vice president
el cristiano	Christian
la creencia	belief
titular	to title, call
compuesto	composed
la presa	prey
el golfo	gulf
la colaboración	collaboration
cotidiano	daily (not diario or diariamente)
evolucionar	to evolve
Nicolás	Nicholas
la clasificación	classification
el carbón	coal
el espectador	spectator
el defensor	defender
la reflexión	reflection (deep thinking) (not reflejo)
la vela	candle
jurar	to swear (e.g. in court); to vow
el hielo	ice
dictar	to dictate
el entusiasmo	enthusiasm
el asesinato	murder
abundante	abundant
delicado	delicate
respectivo	respective
recurrir	to turn to, appeal to
adaptar	to adapt
aislado	isolated
doméstico	domestic
el funcionamiento	operation (functioning)
judío	jewish
el montón	heap, pile
romántico	romantic
concebir	to conceive
cargado	loaded
la fortuna	fortune (not ventura)
eterno	eternal
el ejemplar	copy (e.g. of a book) (e...)
la claridad	clarity
claramente	clearly
el salto	jump, bounce
el taller	workshop, garage
la infancia	childhood (i)
el testimonio	testimony
el turismo	tourism
repartir	to distribute (not distribuir)
el camión	truck
el culto	culto; devotion, worship
el fiscal	prosecutor
probable	probable
el técnico	technician
estallar	to explode (not explotar)
el bronce	bronze
académico	academic
agradecer	to thank, be grateful for, appreciate
agudo	acute
el ayuntamiento	city hall; city government
el prado	meadow
padecer (de)	to suffer from
admirar	to admire
consumir	to consume
el coro	choir
la cita	appointment, date (with somebody)
la cinta	tape, ribbon
el cigarrillo	cigarette (not cigarro)
brindar	to drink a toast (to)
asiático	asian
la fibra	fiber
la tragedia	tragedy
transcurrir	to pass (time; not pasar)
el experimento	experiment
aguantar	to bear, to endure (not soportar)
el rumbo	course (direction, progress) (r..)
justamente	exactly, just (not exactamente)
el anuncio	advertisement, announcement (not comunicado)
la caña	small beer (Sp.); cane, reed; (fishing) rod
curioso	curious
fresco	cool, fresh
el episodio	episode
la importación	importation
productivo	productive
presidir	to preside
teatral	theatrical
respectivamente	respectively
masculino	masculine
comprometer	to compromise
agotar	to use up, exhaust, wear down
el familiar	relative (f...)
depositar	to deposit
la mina	mine (eg a coal mine), mine (field)
la invasión	invasion
el ordenador	computer (not computadora)
la leyenda	legend
el relieve	relief, prominence, terrain
la definición	definition
el electrón	electron
el físico	physicist, physique
estimular	to stimulate
bancario	bank, banking
policial	police
ligar	to tie, to bind (not atar)
el primo	cousin
recomendar	to recommend
aparte	apart, aside
el fragmento	fragment
difundir	to diffuse, to spread out, to broadcast
desconocer	to be ignorant of (not ignorar), to not know
el esquema	sketch; outline (e..)
el bloque	block, building brick, chunk of material
el maíz	corn
charlar	to chat
el menor	minor
la oreja	ear (exterior)
el protagonista	protagonist
artificial	artificial
la tesis	thesis
el titular	title holder, headline
Guillermo	William
la explotación	exploitation
oler	to smell
herido	injured (h..)
espiritual	spiritual
la bola	ball (not pelota or balón)
secreto	secret
la monarquía	monarchy
el misterio	mystery
el nieto	grandson
el prestigio	prestige
posiblemente	possibly
la transformación	transformation
la tonelada	ton
el preso	prisoner (not prisionero)
provenir	to come from
Roberto	Robert
el héroe	hero
la instancia	request (i..)
el líquido	liquid
la entrega	delivery
el ferrocarril	railway, railroad, train
colectivo	collective
la madrugada	dawn (not alba, amanecer, or aurora)
el patrimonio	heritage, patrimony; wealth, estate
el pez	fish living, not food
el propietario	owner (not dueño)
aspirar	to inhale, to vacuum, to aspire (to)
el exceso	excess
filosófico	philosophical
Ortega	Ortega
el latín	latin
inclusive	inclusive
armar	to arm
cálido	warm (not "caluroso")
el caribe	caribbean
africano	african
enterrar	to bury
reaccionar	to react
la selva	jungle (not "la jungla")
Tomás	Thomas
islámico	islamic
el mito	myth
sacudir	to shake, to beat, to dust (not agitar)
potencial	potential
la tarjeta	card
Mozart	Mozart
muerto	dead
imposible	impossible
imperial	imperial
etc	etc
Portugal	Portugal
pelear	to fight, to quarrel (not combatir or luchar)
Paraguay	Paraguay
magnético	magnetic
mejor	better
el gris	grey
reemplazar	to replace (not reponer)
agitar	to shake, to agitate (not sacudir)
el asiento	seat
absorber	to absorb
Berlín	Berlin
quejarse	to complain
temblar	to shake, to tremble (not estremecer)
subrayar	to underline
el insecto	insect
el gobernante	leader (not dirigente, líder, or mandatario)
la mentira	lie
la ola	wave (in water)
el obrero	worker (not trabajador)
el sureste	southeast
la evidencia	evidence
la feria	fair, festival (not el festival)
explotar	to exploit, to explode (not estallar)
el contexto	context
dibujar	to draw
formular	to formulate
el seguidor	follower
agradable	nice (not simpático)
el adulto	adult (not mayor)
el castellano	Castilian
excepto	except
consciente	conscious
el renacimiento	renaissance
radical	radical
la placa	plaque, shield, shingle, plate
la herencia	inheritance
la inquietud	worry (i..)
indio	indian
la tristeza	sadness
la caza	hunt
el beso	kiss
el ganador	winner
la estabilidad	stability
Fidel	Fidel
anotar	to make a note of
el promedio	average
calentar	to heat
la emisión	emission
el turno	turn, shift (not giro or vuelta)
débil	weak, faint, dim
lingüístico	linguistic
llover	to rain
el tabaco	tobacco
avanzado	advanced
franco	Frank (heritage)
la satisfacción	satisfaction
tecnológico	technological
viena	vienna
el porcentaje	percentage
el milagro	miracle
la hembra	female
el conductor	driver
Francisco	Francis
decisivo	decisive
violar	to violate
el ecuador	equator; halfway point, midway
la fabricación	manufacture (not elaboración)
el historiador	historian
nativo	native (not "natal" or "indígena"), local, indigenous
la ocupación	occupation
la legislación	legislation
la prisión	prison (not cárcel)
la convención	convention
chileno	chilean
anoche	last night
la primavera	spring (season)
la transmisión	transmission
la tribu	tribe
la meta	goal, objective, aim, finish line (not gol or tanto)
el herido	injured person, wounded person
el crítico	critic
cesar	to cease
el pacto	pact
sindical	trade union (Adj.)
el gabinete	office (g...); cabinet (in government)
el deber	duty
diplomático	diplomatic
absurdo	absurd
pacífico	peaceful (p..)
penal	criminal (Adj.) (not "criminal")
el reinado	reign
el local	premises (not "el recinto")
la consideración	consideration
la felicidad	happiness (f..)
el monumento	monument
el pedazo	piece, chunk, morsel (not trozo or pieza)
rosa	pink (not "rosado")
sano	healthy
sonoro	resounding, loud, resonant
el mueble	piece of furniture
el consenso	consensus
el cariño	affection, darling, honey (c...)
la guía	guide(book); guide (woman)
el suceso	incident, event (s...)
la secuencia	sequence
el regalo	gift, present (not "el obsequio")
montañoso	mountainous
el consumidor	consumer
la vocación	vocation
brillar	to shine (not lucir)
ambiental	environmental (not "medioambiental")
el muerto	dead person
el homenaje	tribute (not "el tributo")
el horizonte	horizon
la semilla	seed
ratificar	to ratify
la banca	bank, banking
desprender	to detach, dislodge
el paquete	package
secar	to dry
la pensión	pension
Valencia	Valencia
el permiso	permission
práctico	practical
el satélite	satellite
el decreto	decree
el cuidado	care, attention (c..)
biológico	biological
el socio	member (not "el miembro"), partner, associate
el vaquero	cowboy
el mineral	mineral
el sombrero	hat
la conservación	conservation
la cerámica	ceramic
castigar	to punish
digno	honorable, worthy, dignified, (d...)
Julia	Julia
el visitante	visitor
el verbo	verb
Oscar	Oscar
el pasaje	passage; ticket
delante	ahead (location)
la alteración	alteration
la cerveza	beer
institucional	institutional
la humedad	humidity
la libra	pound
la seda	silk
republicano	republican
renovar	to renovate
el desastre	disaster
el dormitorio	bedroom
el coste	cost (Sp.) (not costo)
exhibir	to exhibit (not exponer)
el alcohol	alcohol
el panorama	view (not "la vista")
el rumor	rumor
el sucesor	successor
la habilidad	ability
telefónico	telephone
nocturno	night, nocturnal
preocupado	worried (not inquieto)
el embajador	ambassador
exclusivamente	exclusively
la maquinaria	machinery
el lujo	luxury
la destrucción	destruction
la localidad	location, place (not localización or ubicación)
seleccionar	to select
silencioso	silent, quiet, still (s..)
obrero	working (o..)
la difusión	diffusion
el flujo	flow
complicar	to complicate
la vacación	holiday, vacation
la totalidad	totality, whole
favorable	favorable
la dependencia	dependence
igualmente	likewise, equally
juntar	to put together, join, collect
la infección	infection
redondo	rounded
la expedición	expedition
el cálculo	calculation
abordar	to board
el pico	peak, beak
la integración	integration
el orgullo	pride
el sacrificio	sacrifice
geográfico	geographic
la contaminación	contamination
el tubo	tube
el yacimiento	deposit (mineral)
contratar	to hire, to contract (professional services)
el evento	event (e...)
el chino	Chinese (person; language); person of mixed race (Lat Am)
imprimir	to print
gordo	fat
Marcos	Mark
palestino	Palestinian
el arroz	rice
la estancia	stay (e.g., enjoy your stay) (not "la estadía")
dorado	gold, golden (color)
la criatura	creature
fallar	to fail (not fracasar)
extremo	extreme
operativo	operative
el té	tea
residir	to reside
la explosión	explosion (not estallido)
la fantasía	fantasy
Australia	Australia
la comedia	comedy
conjunto	joint
el rojo	the color red (not "el colorado")
la separación	separation
barato	cheap, cheaply, trashy
espectacular	spectacular
la acusación	accusation
el circuito	circuit
el cobre	copper
la pesca	fishing, catch
el trono	throne
generalizar	to generalize
el examen	exam
bravo	brave (not "valiente"); fierce; angry (Lat Am)
asociar	to associate
la aprobación	approval
particularmente	particularly
tuyo	yours (informal, singular)
el planteamiento	approach (p...), viewpoint; explanation; proposal
la celebración	celebration
divertir	to amuse, to entertain (not entretener)
la modificación	modification
ilegal	illegal
el ideal	ideal
preparado	prepared, ready (not listo)
la transición	transition
visible	visible
el perfil	profile
la bandera	flag
atrapar	to trap
la soberanía	sovereignty
la precisión	precision
murmurar	to murmur
la apariencia	appearance (how something looks)
el despacho	office (d...)
decorar	to decorate
el trato	treatment (not tratamiento)
borrar	to erase
la peña	rock (p...)
la realización	realization (fulfillment)
el sargento	sergeant
el mago	magician
la copia	copy (c...)
el eco	echo
la huella	footprint, track
el talento	talent
la promesa	promise
el reglamento	rules (singular) (not "regla")
la granada	pomegranate
disputar	to dispute
excesivo	excessive
el aliado	ally
valioso	valuable
el alto	the high one; stop sign (Mex.)
capturar	to capture (not captar)
el colega	colleague (not compañero)
el mediodía	midday
rezar	to pray (r.., not "rogar")
consolidar	to consolidate
la geografía	geography
la electricidad	electricity
asignar	to assign
el sabor	taste (not gusto)
representativo	representative
el logro	achievement
masivo	massive
musulmán	Muslim
el reto	challenge (r...)
el pasillo	hallway, corridor (p...)
la pantalla	screen, monitor
la herramienta	tool
anteriormente	previously (not previamente)
la fama	fame
engañar	to cheat, deceive
el aprendizaje	learning; apprenticeship
meridional	southern (not "sureño")
el liceo	high school (l..), secondary school
Picaso	Picasso
el síntoma	symptom
la bahía	bay (body of water)
el compuesto	compound
incapaz	incapable
el intercambio	exchange
la votación	voting
la guitarra	guitar
el rechazo	rejection
reducido	reduced
profundamente	profoundly, deeply
el amante	lover
adivinar	to guess
el calendario	calendar; schedule
beneficiar	to benefit
el diablo	devil
el repertorio	repertoire
la señorita	miss, young lady
el guerrero	warrior
valorar	to value
el terror	terror
la multitud	crowd (not "la muchedumbre")
Alicia	Alice
el exilio	exile
el oxígeno	oxygen
el mundial	world championship
el parecer	opinion (not opinión)
la restauración	restoration
la garganta	throat (not neck)
la desgracia	misfortune (not "la desventura")
culminar	to culminate
datar	to date (to put a date on, to date back to/from)
contento	happy (c...)
examinar	to examine
el estómago	stomach (e..)
el monarca	monarch
misterioso	mysterious
la vergüenza	embarrassment
hondureño	honduran
la hipótesis	hypothesis
prender	to catch (apprehend); to light, to turn on
lamentar	to regret
la fiebre	fever (not "la calentura")
el drama	drama
la pluma	feather, pen
el sillón	armchair (not "silla" or "butaca")
sucesivo	successive
la esencia	essence
el tronco	trunk, log
la aportación	contribution (not aporte or contribución)
conforme	satisfied (not "satisfecho")
pálido	pale
involucrar	to involve
el opositor	opponent (not "el oponente")
competir	to compete
el déficit	deficit
el vientre	belly (v..), stomach, abdomen
definido	defined
el castigo	punishment
